Seed,Model,Exact Match Rate (%),VBS Match Rate (%),Precision (%),Recall (%),F1-Score (%),Mean Solution Cost,Gap to BKS (%),Cost Gain vs SBS (%),SBS Solver,Strategy
39,Uniform Random Selection (1/9),10.986972841686907,11.733274453521748,16.116996870184636,10.986972841686907,12.701572141938966,23390.524773680725,6.106534682321468,-0.5694079520480761,PCI + GLS,Uniform Random Selection (1/9)
39,Virtual Best Solver (VBS / Upper Bound),100.0,100.0,100.0,100.0,100.0,22890.51742106425,3.3153530243580995,1.5804131362282963,PCI + GLS,Virtual Best Solver (VBS / Upper Bound)
40,Gradient Boosting Classifier,23.343694493783303,24.21403197158082,21.71217418068446,23.343694493783303,21.291201286279122,22976.721973060983,4.447635024537424,0.68184406968891,PCI + GLS,Gradient Boosting Classifier
40,Random Forest Classifier,26.99378330373002,27.952930728241565,27.3169670478563,26.99378330373002,22.424269114899886,22975.296706631143,4.420359290765969,0.688004862933789,PCI + GLS,Random Forest Classifier
40,Multi-Layer Perceptron (MLP),23.53019538188277,24.47602131438721,22.98754084970724,23.53019538188277,22.421402577067244,23003.192251332148,4.585353214851289,0.567424822768631,PCI + GLS,Multi-Layer Perceptron (MLP)
40,Gradient Boosting Regressor,22.087033747779753,22.80195381882771,5.106323667351868,22.087033747779753,8.294933313760607,23129.849822380107,4.807837140317544,0.019940442453442554,PCI + GLS,Gradient Boosting Regressor
40,LightGBM Ranker (LTR),26.26110124333925,27.131438721136767,14.142612839846642,26.26110124333925,17.92850457228143,22966.704817939608,4.4091978074231,0.7251437786504108,PCI + GLS,LightGBM Ranker (LTR)
40,Single Best Solver (SBS: PCI + GLS),18.28152753108348,19.18738898756661,3.3421424886976325,18.28152753108348,5.651165585123752,23134.462936648903,4.942211172161808,0.0,PCI + GLS,Single Best Solver (SBS)
40,Uniform Random Selection (1/9),11.376554174067495,11.780639431616342,16.478469462297536,11.376554174067495,13.025560247927686,23258.810775606868,5.974775916538509,-0.5375004351666923,PCI + GLS,Uniform Random Selection (1/9)
40,Virtual Best Solver (VBS / Upper Bound),100.0,100.0,100.0,100.0,100.0,22768.707852279455,3.2717321447595213,1.580996651493604,PCI + GLS,Virtual Best Solver (VBS / Upper Bound)
